year,semester,course_code,user_code,score,week,user_visit_count_chatroom,user_visit_count_forum,user_visit_count_material,user_visit_sum_chatroom,user_visit_sum_forum,user_visit_sum_material,material_count,material_count_dividedby_count,discussion_create,discussion_like,discussion_read,discussion_create_dividedby_count,discussion_like_dividedby_count,discussion_read_dividedby_count,weblink_count,online_video_total_count,online_video_total_time,online_video_total_time_by_VideoCount,online_video_total_time_by_VideoLength,online_video_real_time,online_video_real_time_by_VideoCount,online_video_real_time_by_VideoLength,online_video_unique_count,online_video_unique_count_by_VideoCount,user_visit_count_exam,user_visit_count_homework,user_visit_count_interaction,user_visit_count_online_video,user_visit_count_page,user_visit_sum_exam,user_visit_sum_homework,user_visit_sum_interaction,user_visit_sum_online_video,user_visit_sum_page,online_video_count_by_day_type_morning,online_video_count_by_day_type_night,online_video_count_by_day_type_noon,online_video_time_by_day_type_morning,online_video_time_by_day_type_night,online_video_time_by_day_type_noon,online_video_count_by_holiday_type_holiday,online_video_count_by_holiday_type_workday,online_video_time_by_holiday_type_holiday,online_video_time_by_holiday_type_workday,user_visit_count_virtual_classroom,user_visit_sum_virtual_classroom,user_visit_count_web_link,user_visit_sum_web_link,weblink_count_dividedby_count,user_visit_count_zoom,user_visit_sum_zoom,group
107,1,8861,B10411112,79.1,4,17.0,70.0,2.0,122.0,450.0,15.0,1.0,0.0833333333333333,0.0,0.0,438.0,0.0,0.0,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,6.0,0.0,61.0,276.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10411125,90.4,4,30.0,264.0,3.0,396.0,9327.0,6.0,1.0,0.0833333333333333,14.0,0.0,875.0,1.4,0.0,87.5,0.0,24.0,3490.0,51.3235294117647,0.0542298270637229,1320.0,19.411764705882355,0.0205109947633564,11.0,0.1617647058823527,39.0,27.0,7.0,55.0,5.0,1701.0,2465.0,2613.0,455.0,265.0,2.0,0.0,22.0,142.0,0.0,3348.0,0.0,24.0,0.0,3490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10411126,80.8,4,4.0,118.0,6.0,30.0,10783.0,43.0,3.0,0.2499999999999999,10.0,0.0,915.0,1.0,0.0,91.5,0.0,15.0,2222.0,32.6764705882353,0.0345268411849834,900.0,13.235294117647058,0.0139847691568339,8.0,0.1176470588235292,21.0,10.0,4.0,36.0,1.0,111.0,1992.0,962.0,2849.0,112.0,15.0,0.0,0.0,2222.0,0.0,0.0,0.0,15.0,0.0,2222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,testing
107,1,8861,B10411136,63.5,4,3.0,38.0,0.0,29.0,640.0,0.0,0.0,0.0,7.0,0.0,211.0,0.7,0.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,0.0,2.0,0.0,35.0,445.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10411138,89.4,4,0.0,53.0,0.0,0.0,1313.0,0.0,0.0,0.0,10.0,0.0,211.0,1.0,0.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,0.0,81.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10411140,69.8,4,3.0,80.0,3.0,488.0,37425.0,1393.0,1.0,0.0833333333333333,0.0,0.0,1244.0,0.0,0.0,124.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,0.0,1.0,20.0,72.0,814.0,0.0,14.0,11912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,validation
107,1,8861,B10411147,89.2,4,31.0,318.0,11.0,126.0,12018.0,54.0,5.0,0.4166666666666665,14.0,0.0,687.0,1.4,0.0,68.7,0.0,48.0,4067.0,59.80882352941177,0.0631956179564932,1860.0,27.35294117647059,0.0289018562574568,11.0,0.1617647058823527,63.0,41.0,5.0,45.0,9.0,1811.0,4535.0,1556.0,7364.0,1355.0,48.0,0.0,0.0,4067.0,0.0,0.0,0.0,48.0,0.0,4067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10411149,86.9,4,0.0,28.0,1.0,0.0,4353.0,18.0,1.0,0.0833333333333333,0.0,0.0,13.0,0.0,0.0,1.3,0.0,13.0,275.0,4.044117647058823,0.0042731239090326,360.0,5.294117647058823,0.0055939076627336,3.0,0.0441176470588235,20.0,8.0,5.0,8.0,15.0,1176.0,3020.0,2136.0,2626.0,3925.0,13.0,0.0,0.0,275.0,0.0,0.0,0.0,13.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10411151,82.2,4,3.0,138.0,1.0,27.0,3541.0,67.0,1.0,0.0833333333333333,0.0,0.0,953.0,0.0,0.0,95.3,0.0,12.0,1439.0,21.161764705882355,0.0223600920185378,600.0,8.823529411764707,0.0093231794378893,7.0,0.1029411764705882,10.0,16.0,6.0,22.0,0.0,39.0,435.0,1404.0,3550.0,0.0,6.0,0.0,6.0,457.0,0.0,982.0,0.0,12.0,0.0,1439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,validation
107,1,8861,B10411159,77.5,4,0.0,47.0,0.0,0.0,663.0,0.0,0.0,0.0,13.0,0.0,80.0,1.3,0.0,8.0,0.0,1.0,106.0,1.5588235294117647,0.0016470950340271,60.0,0.8823529411764706,0.0009323179437889,1.0,0.0147058823529411,3.0,7.0,3.0,2.0,0.0,20.0,326.0,29.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,106.0,0.0,1.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,validation
